Unnamed: 0,overall,reviewText
0,1,issues
1,1,purchased device worked advertised never much phone memory since download lot stuff brainer
2,1,works expected sprung higher capacity think made bit cheesier earlier versions paint looks clean
3,1,think worked greathad diff bran gb card went south monthsthis one held pretty well since note update ive months zero issues since transferred note note card reliable solidcheers
4,1,bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought retail packaging htc one sv lg optimus cards working order probably best price youll get nice sd card
5,1,mini storage doesnt anything else supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks
6,1,phone never skips beat file transfers speedy corruption issues memory fade issues would expect sandisk brand great card entrust precious files slightly cheaper piece crap lose everything forgive spending extra couple bucks trusted product goes good qa
7,1,hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation agoi picked portable music didnt want schlep risk phone ipod works great sd card readersselect confidence
8,1,works htc rezound running short space gb sandisk ordered came fast issues
9,1,galaxy super fast card totally happy happy still type fill required words though
10,1,like sd card take music video downloads personal videos filesdocs multimedia images fast transfer rate class speed take games large files easily still enough space apps great video cameras camcorders supplied adapter fits easily smartphones tablets sd card slots recommend gb sd card everyone
11,0,works file writes bit slower expected usb readeralso reads writes faster card inside standardsize sd adapter mbs vs write mbs vs mbs read card reader cant figure
12,1,name speaks go sandisk go
13,1,solid sdhc card fast reading writing fast recording video pics great capacity reasonably priced issues itoverall highly recommend
14,1,heard cards write speed insufficient however used extensively havent single problem
15,1,bought use go pro hero black edition requires class microsdxc card far ive issues fast readwrite came adapter small packaging thats needed comes nice hard plastic case keep dry together needed
16,1,got gb one filled kept getting insufficient disk space phone kids take phone selfies mostly daughter get bigger card gb one carry old phoneneedless say sweet plenty space dont delete pictures anymore well leastmy daughter loves selfies
17,1,class speed rating seamless full hd videothe sandisk ultra uhsi card features class uhs speed class u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis card retrieve stored data almost instantly thanks mbs read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi cards offer faster app loading smoother fluid app performancestorage capacities gbthis card plenty room accommodate full hd videos mps apps memoryintensive mobile files available sizes gb store apps music video wantandroid app easy file managementthe included sandisk memory zone app lets easily view access backup digital files phones memory additional memory card cloud service one convenient place using app easily move files card number cloud storage servicesdurable designsandisk ultra uhsi memory cards capture memories degrees fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card
18,1,read write speeds better samsung sd card previously would hesitate buy another one great micro sd cards sandisk also clip plus mp player works well think im becoming fan sandisk products
19,1,works nl video stuttering like gb blah blah blah blah fill rest
20,1,works expected high transfer speed nice extra microsd adapters lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view images larger screen
21,1,works great samsung galaxy formatted straight away full size cant really tell speed difference one slower card replaced guess io phone cant take advantage
22,1,sandisk never disappoints always sandisk products worth every penny nice product quality works great recommend product everyone
23,1,good price works flawless samsung normal sandisk quality go brand brand
24,1,san disk hard beat pay brand get quality product would purchase
25,1,installed blackberry q sqn formatted works fine plenty storage space pictures videos son park
26,1,received card class gb correct serialsdsdquagaa received unopened sandisk packaging going use htc rezound hope works read work reformatting disk update review issues using rating remain unchanged
27,1,stuck formatted settings works great already filled music pics videos get card format right youll problems phone wont right got samsung haha
28,1,purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meets needs
29,1,advertised specs match long device using handle ie usb crapple bs delivers advertised speed ps speed read write knew right
30,1,item great cant believe small imagine gb size back whole buildings full computers couldnt pack much space great item
31,1,ive trying get hold gb micro sd phone tablet pretty fast compared gb cards ive using really saw performance boost phone many apps pictures music documents phone boots fully stable mins apposed mins computer also write cards much faster gb ones using phone tablet device support recommend purchase also pay like half price using amazon opposed retail stores whos price least double ive seen cards going area
32,0,bought sandisk gb microsd used galaxy note galaxy sfirst one phone started saying removed recognize diedi thought luck plugged nd one stayed months died suddenly lost everythingnever buying sandisk ever
33,1,memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage
34,1,ive got couple varying sizes ive problems complaints speed always end buying prices low get
35,1,gigs memory note running room much memory space available dont know
36,1,bought surface pro ive months ive problems fast stable
37,1,would recommend card everyonedata transfer speeds excellent card galaxy didnt need format card anything satisfied
38,0,bougth micro sd card trubles got kingston tell sandisk quality best phone read gb fast dta transfer speed pc amazing looking additional storage phone music pictures type files youprosvery good quality materials constructionamazing speedupdate one year memory damaged delete put new files format memory tried format phone pc camera nothing like gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better products future total disagree buy samsung memory card expected better quality
39,1,using contout gps camera dont waste time buying brand waste buy best start
40,1,fantastic little drive gigabytes says works ways discern use hold flac recordings play excellent fiio x digital audio player real thing one fakes evidently
41,1,happy micro sd could tell difference response time bb curve well asus tablet want something transfer files photos videos music faster micro sd card say faster cards price trick devices professional photographer might want go ultra micro sd everyday user work wonders device
42,1,ive purchased several little babies years always buy sandisk ive never one fail price great amount storage get
43,0,ordered galaxy lasted months broke accessible several different pcssays limited lifetime warranty bs one month eco zone lose pictures crappy return policyin future buying kingston sandiskupdate amazon customer service made good refunded purchase price still buying sandisk memory cards however
44,1,like mbs note thats using sandisks app bit faster note ii still disappointment devices quad core processors sure card device benefit doubt four stars
45,1,much say plug play good quality fits lot video good good good
46,1,new camcorder required fast sd micro sandisk products always provided first class service extra cost well worth
47,1,tiny marvel claims possible problem small may lose happen drop handling gb capacity wont handling often
48,1,job price right came quickly im happy purchase would recommend would
49,0,used months phone decided quit mounting lost pictures pets died shortly got replacement card send old one giving chance recovering contents new ones worked fine failing months inexcusable
50,1,memory card either works doesnt always going one star five star review middle groundthe adapter nice bonus though dont think anything use
51,1,purchased card use contourroam works great put card camera format good go allows easily record hours pfps video without running space slowing
52,1,upgraded gb gb card galaxy note phone looks like works fine full capacity good product
53,1,everything great except adapter tight use tool take back adapter causing chip fault guess also bought gb version adapter one fine
54,1,liked first one purchased much bought second one fast read write speeds good price plus sandisk best software device compatibility forget thumb drives flexible durable option use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedy upgradeable thumb drive works great tablet newer card reader still kicks butt every thumb drive know even used old plastic usb card reader held together scotch tape lol purchased several microsd cards since first came gb gb still work fine cannot say thumb drives purchased time periodone point beware counterfeits samsung number one brand unfortunately get counterfeited lot check reviews buy reliable seller suggest buying direct amazon memory mogul purchased issues
55,1,really cant say anything bad says super fast great storage size lots movies
56,1,used phone plenty fast works like unexpectedly comes mini full sd card size adapters nice foolproof packaging whatever laughable packaging decent shouldnt bragged impossible mess messed
57,1,standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper stores believe
58,1,ordered new samsung galaxy note ii works awesome installed problems loaded music didnt even scratch surface capacity card shouldnt ever worry running outta room card highly recommended smartphone user
